Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
2017-06-01,0.21,0.21,0.14,4.3,-0.75,0.51,0.56,0.1
2017-07-01,-0.25,-0.25,0.13,4.3,1.26,-0.01,0.79,0.34
2017-08-01,-0.45,-0.45,0.1,4.4,0.68,0.2,0.79,0.18
2017-09-01,0.12,0.12,0.06,4.3,1.43,2.08,0.79,0.27
2017-10-01,1.24,1.24,0.1,4.2,1.7,0.08,1.13,0.4
2017-11-01,0.26,0.26,0.15,4.2,0.31,1.02,1.13,0.25
2017-12-01,0.23,0.23,0.1,4.1,0.83,0.55,1.13,0.21
2018-01-01,-0.0,-0.0,0.09,4.0,-0.05,-0.45,0.81,0.11
2018-02-01,0.24,0.24,0.27,4.1,1.99,0.54,0.81,0.15
2018-03-01,0.45,0.45,0.15,4.0,0.03,0.02,0.81,0.27
2018-04-01,1.14,1.14,0.1,4.0,1.57,0.01,0.53,0.11
2018-05-01,-0.94,-0.94,0.21,3.8,1.16,1.61,0.53,0.26
2018-06-01,0.82,0.82,0.15,4.0,0.39,-0.35,0.53,0.4
2018-07-01,0.13,0.13,0.04,3.8,0.64,0.59,0.62,0.46
2018-08-01,0.68,0.68,0.17,3.8,-1.12,0.06,0.62,0.36
2018-09-01,0.04,0.04,0.05,3.7,-0.06,-0.39,0.62,-0.04
2018-10-01,-0.17,-0.17,0.11,3.8,0.86,1.0,0.14,0.15
2018-11-01,0.08,0.08,0.06,3.8,-1.65,0.49,0.14,0.22
2018-12-01,0.03,0.03,0.13,3.9,0.64,-1.95,0.14,1.15
2019-01-01,-0.66,-0.66,0.17,4.0,-0.49,0.27,0.62,0.42
2019-02-01,-0.52,-0.52,0.0,3.8,0.58,0.27,0.62,0.23
2019-03-01,0.01,0.01,0.15,3.8,-0.65,1.53,0.62,0.18
2019-04-01,-0.55,-0.55,0.2,3.7,0.54,0.01,0.84,-0.06
2019-05-01,0.14,0.14,0.02,3.6,-0.4,1.08,0.84,0.04
